X: -99.000000, Y: -61.000000, Z: -86.000000, Data: 2.817500
X: -99.000000, Y: -61.000000, Z: -87.000000, Data: 2.691250
X: -99.000000, Y: -62.000000, Z: -87.000000, Data: 2.728750
X: -99.000000, Y: -62.000000, Z: -86.000000, Data: 2.868750
X: -99.000000, Y: -62.000000, Z: -85.000000, Data: 2.961250
X: -99.000000, Y: -62.000000, Z: -84.000000, Data: 2.748750
X: -99.000000, Y: -62.000000, Z: -83.000000, Data: 2.593750
X: -99.000000, Y: -62.000000, Z: -82.000000, Data: 2.702500
X: -99.000000, Y: -62.000000, Z: -81.000000, Data: 2.610000
X: -99.000000, Y: -62.000000, Z: -80.000000, Data: 2.231250
X: -99.000000, Y: -62.000000, Z: -79.000000, Data: 1.960000
X: -99.000000, Y: -62.000000, Z: -78.000000, Data: 1.686250
X: -99.000000, Y: -62.000000, Z: -77.000000, Data: 1.495000
X: -99.000000, Y: -62.000000, Z: -76.000000, Data: 1.467500
X: -99.000000, Y: -62.000000, Z: -75.000000, Data: 1.352500
X: -99.000000, Y: -62.000000, Z: -74.000000, Data: 1.146250
X: -99.000000, Y: -62.000000, Z: -73.000000, Data: 0.892500
X: -99.000000, Y: -62.000000, Z: -72.000000, Data: 0.750000
X: -99.000000, Y: -62.000000, Z: -71.000000, Data: 0.706250
X: -99.000000, Y: -62.000000, Z: -70.000000, Data: 0.706250
X: -99.000000, Y: -62.000000, Z: -69.000000, Data: 0.698750
X: -99.000000, Y: -62.000000, Z: -68.000000, Data: 0.678750
X: -99.000000, Y: -62.000000, Z: -67.000000, Data: 0.586250
X: -99.000000, Y: -62.000000, Z: -66.000000, Data: 0.558750
X: -99.000000, Y: -62.000000, Z: -65.000000, Data: 0.756250
X: -99.000000, Y: -62.000000, Z: -64.000000, Data: 1.100000
X: -99.000000, Y: -62.000000, Z: -63.000000, Data: 1.327500
X: -99.000000, Y: -62.000000, Z: -62.000000, Data: 1.561250
X: -99.000000, Y: -62.000000, Z: -61.000000, Data: 2.285000
X: -99.000000, Y: -62.000000, Z: -60.000000, Data: 2.946250
X: -99.000000, Y: -62.000000, Z: -59.000000, Data: 3.438750
X: -99.000000, Y: -62.000000, Z: -58.000000, Data: 3.475000
X: -99.000000, Y: -62.000000, Z: -57.000000, Data: 3.767500
X: -99.000000, Y: -63.000000, Z: -57.000000, Data: 4.183750
X: -99.000000, Y: -63.000000, Z: -58.000000, Data: 4.137500
X: -99.000000, Y: -63.000000, Z: -59.000000, Data: 3.832500
X: -99.000000, Y: -63.000000, Z: -60.000000, Data: 3.090000
X: -99.000000, Y: -63.000000, Z: -61.000000, Data: 2.286250
X: -99.000000, Y: -63.000000, Z: -62.000000, Data: 1.542500
X: -99.000000, Y: -63.000000, Z: -63.000000, Data: 1.330000
X: -99.000000, Y: -63.000000, Z: -64.000000, Data: 0.985000
X: -99.000000, Y: -63.000000, Z: -65.000000, Data: 0.698750
X: -99.000000, Y: -63.000000, Z: -66.000000, Data: 0.558750
X: -99.000000, Y: -63.000000, Z: -67.000000, Data: 0.628750
X: -99.000000, Y: -63.000000, Z: -68.000000, Data: 0.736250
X: -99.000000, Y: -63.000000, Z: -69.000000, Data: 0.657500
X: -99.000000, Y: -63.000000, Z: -70.000000, Data: 0.642500
X: -99.000000, Y: -63.000000, Z: -71.000000, Data: 0.661250
X: -99.000000, Y: -63.000000, Z: -72.000000, Data: 0.761250
X: -99.000000, Y: -63.000000, Z: -73.000000, Data: 0.848750
X: -99.000000, Y: -63.000000, Z: -74.000000, Data: 1.051250
X: -99.000000, Y: -63.000000, Z: -75.000000, Data: 1.258750
X: -99.000000, Y: -63.000000, Z: -76.000000, Data: 1.406250
X: -99.000000, Y: -63.000000, Z: -77.000000, Data: 1.520000
X: -99.000000, Y: -63.000000, Z: -78.000000, Data: 1.625000
X: -99.000000, Y: -63.000000, Z: -79.000000, Data: 1.836250
X: -99.000000, Y: -63.000000, Z: -80.000000, Data: 2.230000
X: -99.000000, Y: -63.000000, Z: -81.000000, Data: 2.735000
X: -99.000000, Y: -63.000000, Z: -82.000000, Data: 2.773750
X: -99.000000, Y: -63.000000, Z: -83.000000, Data: 2.510000
X: -99.000000, Y: -63.000000, Z: -84.000000, Data: 2.550000
X: -99.000000, Y: -63.000000, Z: -85.000000, Data: 2.912500
X: -99.000000, Y: -63.000000, Z: -86.000000, Data: 3.018750
X: -99.000000, Y: -63.000000, Z: -87.000000, Data: 2.878750
X: -99.000000, Y: -64.000000, Z: -87.000000, Data: 2.978750
X: -99.000000, Y: -64.000000, Z: -86.000000, Data: 3.172500
X: -99.000000, Y: -64.000000, Z: -85.000000, Data: 3.063750
X: -99.000000, Y: -64.000000, Z: -84.000000, Data: 2.606250
X: -99.000000, Y: -64.000000, Z: -83.000000, Data: 2.497500
X: -99.000000, Y: -64.000000, Z: -82.000000, Data: 2.883750
